,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,City MPG,Class,Combination MPG,Cylinders,Displacement,Drive,Fuel Type,Highway MPG,Make,Model,Transmission,Year,Age,Displacement_Group,MPG_Efficiency_City,MPG_Efficiency_Highway,MPG_Efficiency_Combined
495,495,495,499,26,midsize car,28,3.0,1.5,FWD,gas,32,mini,cooper countryman,a,2023,3,Low,Low,Low,Low
496,496,496,500,16,two seater,18,8.0,5.0,AWD,gas,24,jaguar,f-type r awd coupe,a,2024,2,Low,Low,Low,Low
497,497,497,501,16,two seater,18,8.0,5.0,AWD,gas,24,jaguar,f-type r awd convertible,a,2024,2,Low,Low,Low,Low
498,498,498,502,17,two seater,19,8.0,5.0,RWD,gas,24,jaguar,f-type p450 rwd coupe,a,2024,2,Low,Low,Low,Low
499,499,499,503,17,two seater,19,8.0,5.0,RWD,gas,24,jaguar,f-type p450 rwd convertible,a,2024,2,Low,Low,Low,Low
500,500,500,504,16,two seater,18,8.0,5.0,AWD,gas,24,jaguar,f-type p450 awd r-dynamic coupe,a,2024,2,Low,Low,Low,Low
501,501,501,505,16,two seater,18,8.0,5.0,AWD,gas,24,jaguar,f-type p450 awd r-dynamic convertible,a,2024,2,Low,Low,Low,Low
502,502,502,506,28,small station wagon,30,3.0,1.2,FWD,gas,32,chevrolet,trax,a,2024,2,Low,Low,Low,Low
503,503,503,507,20,small sport utility vehicle,23,4.0,2.0,AWD,gas,26,jaguar,e-pace,a,2024,2,Low,Low,Low,Low
504,504,504,508,20,small sport utility vehicle,22,4.0,2.0,AWD,gas,27,land rover,range rover evoque,a,2024,2,Low,Low,Low,Low
505,505,505,509,19,small sport utility vehicle,20,4.0,2.0,AWD,gas,23,land rover,discovery sport,a,2024,2,Low,Low,Low,Low
506,506,506,510,28,small sport utility vehicle,31,4.0,2.0,FWD,gas,34,kia,seltos fwd,a,2024,2,Low,Low,Low,Low
507,507,507,511,25,small sport utility vehicle,26,4.0,1.6,AWD,gas,27,kia,seltos awd,a,2024,2,Low,Low,Low,Low
508,508,508,512,27,small sport utility vehicle,29,4.0,2.0,AWD,gas,31,kia,seltos awd,a,2024,2,Low,Low,Low,Low
509,509,509,513,29,minicompact car,32,3.0,1.5,FWD,gas,38,mini,cooper convertible,a,2024,2,Low,Low,Low,Low
510,510,510,514,27,minicompact car,31,3.0,1.5,FWD,gas,38,mini,cooper convertible,m,2024,2,Low,Low,Low,Low
511,511,511,515,27,minicompact car,30,4.0,2.0,FWD,gas,36,mini,cooper s convertible,a,2024,2,Low,Low,Low,Low
512,512,512,516,23,minicompact car,27,4.0,2.0,FWD,gas,33,mini,cooper s convertible,m,2024,2,Low,Low,Low,Low
513,513,513,517,25,minicompact car,28,4.0,2.0,FWD,gas,33,mini,john cooper works convertible,a,2024,2,Low,Low,Low,Low
514,514,514,518,25,subcompact car,28,4.0,2.0,RWD,gas,34,bmw,430i coupe,a,2024,2,Low,Low,Low,Low
515,515,515,519,23,subcompact car,27,4.0,2.0,AWD,gas,33,bmw,430i xdrive coupe,a,2024,2,Low,Low,Low,Low
516,516,516,520,25,subcompact car,28,4.0,2.0,RWD,gas,34,bmw,430i convertible,a,2024,2,Low,Low,Low,Low
517,517,517,521,23,subcompact car,27,4.0,2.0,AWD,gas,33,bmw,430i xdrive convertible,a,2024,2,Low,Low,Low,Low
518,518,518,522,16,subcompact car,19,6.0,3.0,RWD,gas,23,bmw,m4 coupe,m,2024,2,Low,Low,Low,Low
519,519,519,523,16,subcompact car,19,6.0,3.0,RWD,gas,23,bmw,m4 competition coupe,a,2024,2,Low,Low,Low,Low
520,520,520,524,16,subcompact car,18,6.0,3.0,AWD,gas,22,bmw,m4 competition m xdrive coupe,a,2024,2,Low,Low,Low,Low
521,521,521,525,16,subcompact car,18,6.0,3.0,AWD,gas,23,bmw,m4 competition m xdrive convertible,a,2024,2,Low,Low,Low,Low
522,522,522,526,21,subcompact car,24,6.0,3.0,RWD,gas,29,bmw,840i coupe,a,2024,2,Low,Low,Low,Low
523,523,523,527,21,subcompact car,24,6.0,3.0,AWD,gas,29,bmw,840i xdrive coupe,a,2024,2,Low,Low,Low,Low
524,524,524,528,21,subcompact car,24,6.0,3.0,RWD,gas,29,bmw,840i convertible,a,2024,2,Low,Low,Low,Low
525,525,525,529,21,subcompact car,24,6.0,3.0,AWD,gas,29,bmw,840i xdrive convertible,a,2024,2,Low,Low,Low,Low
526,526,526,530,17,subcompact car,19,8.0,4.4,AWD,gas,24,bmw,m850i xdrive coupe,a,2024,2,Low,Low,Low,Low
527,527,527,531,17,subcompact car,19,8.0,4.4,AWD,gas,24,bmw,m850i xdrive convertible,a,2024,2,Low,Low,Low,Low
528,528,528,532,15,subcompact car,17,8.0,4.4,AWD,gas,22,bmw,m8 competition coupe,a,2024,2,Low,Low,Low,Low
529,529,529,533,15,subcompact car,17,8.0,4.4,AWD,gas,22,bmw,m8 competition convertible,a,2024,2,Low,Low,Low,Low
530,530,530,534,29,subcompact car,32,3.0,1.5,FWD,gas,38,mini,cooper hardtop 2 door,a,2024,2,Low,Low,Low,Low
531,531,531,535,27,subcompact car,31,3.0,1.5,FWD,gas,38,mini,cooper hardtop 2 door,m,2024,2,Low,Low,Low,Low
532,532,532,536,29,subcompact car,32,3.0,1.5,FWD,gas,38,mini,cooper hardtop 4 door,a,2024,2,Low,Low,Low,Low
533,533,533,537,27,subcompact car,31,3.0,1.5,FWD,gas,38,mini,cooper hardtop 4 door,m,2024,2,Low,Low,Low,Low
534,534,534,538,28,subcompact car,31,4.0,2.0,FWD,gas,38,mini,cooper s hardtop 2 door,a,2024,2,Low,Low,Low,Low
535,535,535,539,23,subcompact car,27,4.0,2.0,FWD,gas,33,mini,cooper s hardtop 2 door,m,2024,2,Low,Low,Low,Low
536,536,536,540,28,subcompact car,31,4.0,2.0,FWD,gas,38,mini,cooper s hardtop 4 door,a,2024,2,Low,Low,Low,Low
537,537,537,541,23,subcompact car,27,4.0,2.0,FWD,gas,33,mini,cooper s hardtop 4 door,m,2024,2,Low,Low,Low,Low
538,538,538,542,26,subcompact car,29,4.0,2.0,FWD,gas,35,mini,john cooper works hardtop 2 door,a,2024,2,Low,Low,Low,Low
539,539,539,543,22,subcompact car,26,4.0,2.0,FWD,gas,32,mini,john cooper works hardtop 2 door,m,2024,2,Low,Low,Low,Low
540,540,540,544,25,compact car,28,4.0,2.0,RWD,gas,34,bmw,430i gran coupe,a,2024,2,Low,Low,Low,Low
541,541,541,545,23,compact car,27,4.0,2.0,AWD,gas,33,bmw,430i xdrive gran coupe,a,2024,2,Low,Low,Low,Low
542,542,542,546,21,midsize car,24,6.0,3.0,RWD,gas,29,bmw,840i gran coupe,a,2024,2,Low,Low,Low,Low
543,543,543,547,21,midsize car,24,6.0,3.0,AWD,gas,29,bmw,840i xdrive gran coupe,a,2024,2,Low,Low,Low,Low
544,544,544,548,17,midsize car,19,8.0,4.4,AWD,gas,24,bmw,m850i xdrive gran coupe,a,2024,2,Low,Low,Low,Low
545,545,545,549,17,midsize car,19,8.0,4.4,AWD,gas,24,bmw,alpina b8 gran coupe,a,2024,2,Low,Low,Low,Low
